property_id,month,property_value,cap_rate
P002,2023-02,51890785.11,0.0509
P002,2023-03,51243017.29,0.0509
P002,2023-04,51401018.55,0.0509
P002,2023-05,51027530.87,0.0509
P002,2023-06,51171457.41,0.0509
P002,2023-07,51210226.34,0.0509
P002,2023-08,51961791.18,0.0509
P002,2023-09,51765575.35,0.051
P002,2023-10,52231798.39,0.051
P002,2023-11,52687918.95,0.051
P002,2023-12,52748677.63,0.051
P002,2024-01,51370327.93,0.051
P002,2024-02,52319534.62,0.051
P002,2024-03,51784989.55,0.051
P002,2024-04,50997046.58,0.0511
P002,2024-05,51782118.07,0.0511
P002,2024-06,51834470.11,0.0511
P002,2024-07,51213108.84,0.0511
P002,2024-08,51883698.07,0.0511
P002,2024-09,52864065.72,0.0511
P002,2024-10,52622843.98,0.0512
P002,2024-11,52380565.27,0.0512
P002,2024-12,53465499.28,0.0512
P002,2025-01,52085520.43,0.0512
P002,2025-02,52299849.11,0.0512
P002,2025-03,52141089.82,0.0512
P002,2025-04,52062512.29,0.0512
P002,2025-05,51793158.25,0.0513
P002,2025-06,52166108.99,0.0513
P002,2025-07,52505530.94,0.0513
P002,2025-08,52470185.26,0.0513
P002,2025-09,52716805.18,0.0513
P002,2025-10,52954813.93,0.0513
P002,2025-11,52929253.45,0.0513
P002,2025-12,53154524.51,0.0514
P002,2026-01,53106503.32,0.0514
P002,2026-02,53071016.11,0.0514
P002,2026-03,52202932.28,0.0514
P002,2026-04,52677903.91,0.0514
P002,2026-05,52738611.26,0.0514
P002,2026-06,52641461.85,0.0515
P002,2026-07,52602550.33,0.0515
P002,2026-08,52744988.55,0.0515
P003,2022-09,37177475.16,0.0466
P003,2022-10,37063157.53,0.0466
P003,2022-11,37327077.07,0.0466
P003,2022-12,38082687.17,0.0466
P003,2023-01,36873715.57,0.0466
P003,2023-02,37494759.68,0.0466
P003,2023-03,37189929.4,0.0466
P003,2023-04,37288662.26,0.0467
P003,2023-05,37625699.88,0.0467
P003,2023-06,37075188.4,0.0467
P003,2023-07,37527154.22,0.0467
P003,2023-08,37651753.96,0.0467
P003,2023-09,37670030.07,0.0467
P003,2023-10,38450302.32,0.0467
P003,2023-11,39014533.34,0.0468
P003,2023-12,38716570.25,0.0468
P003,2024-01,38709942.2,0.0468
P003,2024-02,38335586.47,0.0468
P003,2024-03,38167514.0,0.0468
P003,2024-04,37940666.65,0.0468
P003,2024-05,37932541.08,0.0469
P003,2024-06,38241580.67,0.0469
P003,2024-07,38109395.04,0.0469
P003,2024-08,38259155.55,0.0469
P003,2024-09,38630191.89,0.0469
P003,2024-10,38453157.43,0.0469
P003,2024-11,39416569.19,0.0469
P003,2024-12,39191292.71,0.047
P003,2025-01,39348260.29,0.047
P003,2025-02,39196536.17,0.047
P003,2025-03,39217686.41,0.047
P003,2025-04,38868519.97,0.047
P003,2025-05,38555190.98,0.047
P003,2025-06,38808512.42,0.047
P003,2025-07,39203928.33,0.0471
P003,2025-08,38898217.04,0.0471
P003,2025-09,38612486.74,0.0471
P003,2025-10,39382619.06,0.0471
P003,2025-11,39849929.36,0.0471
P003,2025-12,39035081.16,0.0471
P003,2026-01,39534942.16,0.0472
P003,2026-02,39792189.64,0.0472
P003,2026-03,39900087.84,0.0472
P003,2026-04,39738985.95,0.0472
P003,2026-05,39228806.27,0.0472
P003,2026-06,39610938.04,0.0472
P003,2026-07,39785857.02,0.0472
P003,2026-08,39898832.05,0.0473
P004,2022-09,36497513.99,0.0435
P004,2022-10,37266735.82,0.0436
P004,2022-11,36526958.58,0.0436
P004,2022-12,37325819.68,0.0436
P004,2023-01,36558996.64,0.0436
P004,2023-02,36704807.57,0.0436
P004,2023-03,36696764.96,0.0436
P004,2023-04,36616789.66,0.0436
P004,2023-05,36927630.31,0.0437
P004,2023-06,36913892.32,0.0437
P004,2023-07,36825775.45,0.0437
P004,2023-08,37235965.94,0.0437
P004,2023-09,37184809.84,0.0437
P004,2023-10,37609898.29,0.0437
P004,2023-11,36943731.96,0.0437
P004,2023-12,37128280.51,0.0438
P004,2024-01,37292095.5,0.0438
P004,2024-02,37329326.5,0.0438
P004,2024-03,37606936.75,0.0438
P004,2024-04,36918141.03,0.0438
P004,2024-05,37161888.37,0.0438
P004,2024-06,37248287.82,0.0439
P004,2024-07,37448079.3,0.0439
P004,2024-08,38138323.54,0.0439
P004,2024-09,38227597.44,0.0439
P004,2024-10,37869417.08,0.0439
P004,2024-11,37994009.59,0.0439
P004,2024-12,37878028.87,0.0439
P004,2025-01,38421166.03,0.044
P004,2025-02,37830474.06,0.044
P004,2025-03,38292706.18,0.044
P004,2025-04,37690344.57,0.044
P004,2025-05,38005234.24,0.044
P004,2025-06,38304177.02,0.044
P004,2025-07,38174451.77,0.044
P004,2025-08,38954956.77,0.0441
P004,2025-09,39141299.79,0.0441
P004,2025-10,39352490.78,0.0441
P004,2025-11,38830625.71,0.0441
P004,2025-12,39035365.92,0.0441
P004,2026-01,39338236.26,0.0441
P004,2026-02,38883481.98,0.0442
P004,2026-03,39129579.45,0.0442
P004,2026-04,38651280.34,0.0442
P004,2026-05,38547876.25,0.0442
P004,2026-06,38811733.65,0.0442
P004,2026-07,39140657.79,0.0442
P004,2026-08,39290617.84,0.0442
P005,2022-09,43979730.43,0.0446
P005,2022-10,44438981.43,0.0447
P005,2022-11,43986232.08,0.0447
P005,2022-12,43903421.78,0.0447
P005,2023-01,44429580.44,0.0447
P005,2023-02,45109372.27,0.0447
P005,2023-03,44297135.3,0.0447
P005,2023-04,43986654.79,0.0447
P005,2023-05,44118400.58,0.0448
P005,2023-06,44027773.54,0.0448
P005,2023-07,44601485.06,0.0448
P005,2023-08,43895002.24,0.0448
P005,2023-09,44351332.34,0.0448
P005,2023-10,44584850.73,0.0448
P005,2023-11,45453072.93,0.0448
P005,2023-12,45554478.66,0.0449
P005,2024-01,44418608.08,0.0449
P005,2024-02,44823498.08,0.0449
P005,2024-03,44628807.02,0.0449
P005,2024-04,45167782.04,0.0449
P005,2024-05,44376363.94,0.0449
P005,2024-06,45119941.6,0.045
P005,2024-07,44359078.95,0.045
P005,2024-08,45597820.25,0.045
P005,2024-09,45704897.92,0.045
P005,2024-10,45552430.94,0.045
P005,2024-11,45725365.14,0.045
P005,2024-12,46264513.2,0.045
P005,2025-01,46333692.38,0.0451
P005,2025-02,45908201.38,0.0451
P005,2025-03,46011195.98,0.0451
P005,2025-04,46208883.7,0.0451
P005,2025-05,46317782.09,0.0451
P005,2025-06,45474083.26,0.0451
P005,2025-07,45374633.66,0.0451
P005,2025-08,45761050.07,0.0452
P005,2025-09,45729188.23,0.0452
P005,2025-10,46325550.01,0.0452
P005,2025-11,46329617.46,0.0452
P005,2025-12,46586847.73,0.0452
P005,2026-01,46942596.09,0.0452
P005,2026-02,47176304.82,0.0453
P005,2026-03,47450712.46,0.0453
P005,2026-04,47080841.1,0.0453
P005,2026-05,46923560.84,0.0453
P005,2026-06,46293318.54,0.0453
P005,2026-07,46460155.82,0.0453
P005,2026-08,46963658.05,0.0453
P006,2022-09,54912927.29,0.0481
P006,2022-10,55105939.32,0.0481
P006,2022-11,55299314.81,0.0481
P006,2022-12,56165374.62,0.0481
P006,2023-01,54969048.84,0.0481
P006,2023-02,56082816.68,0.0482
P006,2023-03,55196719.32,0.0482
P006,2023-04,54803508.62,0.0482
P006,2023-05,54815413.07,0.0482
P006,2023-06,55159252.63,0.0482
P006,2023-07,55630165.76,0.0482
P006,2023-08,55938625.89,0.0483
P006,2023-09,55456032.07,0.0483
P006,2023-10,56359117.02,0.0483
P006,2023-11,56496519.98,0.0483
P006,2023-12,56401999.11,0.0483
P006,2024-01,56555196.87,0.0483
P006,2024-02,56500764.03,0.0483
P006,2024-03,55834705.95,0.0484
P006,2024-04,56411609.13,0.0484
P006,2024-05,55603068.87,0.0484
P006,2024-06,55580470.84,0.0484
P006,2024-07,55461633.02,0.0484
P006,2024-08,56276192.9,0.0484
P006,2024-09,56377329.5,0.0484
P006,2024-10,57508049.66,0.0485
P006,2024-11,56631663.02,0.0485
P006,2024-12,56960443.54,0.0485
P006,2025-01,56791135.52,0.0485
P006,2025-02,56973619.3,0.0485
P006,2025-03,56514547.26,0.0485
P006,2025-04,56799751.79,0.0486
P006,2025-05,56718471.22,0.0486
P006,2025-06,56703503.95,0.0486
P006,2025-07,57639155.83,0.0486
P006,2025-08,56601295.24,0.0486
P006,2025-09,57568172.26,0.0486
P006,2025-10,56815762.29,0.0486
P006,2025-11,58262107.86,0.0487
P006,2025-12,58034671.87,0.0487
P006,2026-01,57635090.8,0.0487
P006,2026-02,57101316.52,0.0487
P006,2026-03,57585736.17,0.0487
P006,2026-04,56545993.23,0.0487
P006,2026-05,57804127.52,0.0487
P006,2026-06,57395125.39,0.0488
P006,2026-07,57338934.42,0.0488
P006,2026-08,58671526.5,0.0488
P007,2022-09,57738355.16,0.0513
P007,2022-10,58642254.63,0.0513
P007,2022-11,59721366.72,0.0513
P007,2022-12,59542676.63,0.0513
P007,2023-01,58630275.23,0.0513
P007,2023-02,58538368.17,0.0514
P007,2023-03,58715884.41,0.0514
P007,2023-04,58005836.01,0.0514
P007,2023-05,58533206.22,0.0514
P007,2023-06,59224493.91,0.0514
P007,2023-07,58769130.92,0.0514
P007,2023-08,57736752.01,0.0514
P007,2023-09,58317540.33,0.0515
P007,2023-10,58340129.81,0.0515
P007,2023-11,59874638.35,0.0515
P007,2023-12,58986166.44,0.0515
P007,2024-01,60114503.6,0.0515
P007,2024-02,59703723.42,0.0515
P007,2024-03,59305811.66,0.0515
P007,2024-04,59157921.99,0.0516
P007,2024-05,57914909.92,0.0516
P007,2024-06,59006142.66,0.0516
P007,2024-07,58817753.32,0.0516
P007,2024-08,58731440.1,0.0516
P007,2024-09,59892411.1,0.0516
P007,2024-10,59170589.69,0.0517
P007,2024-11,60378523.03,0.0517
P007,2024-12,59140419.62,0.0517
P007,2025-01,60638444.29,0.0517
P007,2025-02,60108126.54,0.0517
P007,2025-03,59833703.25,0.0517
P007,2025-04,58449461.68,0.0517
P007,2025-05,59239684.04,0.0518
P007,2025-06,58755345.95,0.0518
P007,2025-07,59307881.8,0.0518
P007,2025-08,59703977.36,0.0518
P007,2025-09,58867148.15,0.0518
P007,2025-10,59186814.81,0.0518
P007,2025-11,60099880.73,0.0518
P007,2025-12,60219234.98,0.0519
P007,2026-01,59267796.87,0.0519
P007,2026-02,59119008.67,0.0519
P007,2026-03,59775605.3,0.0519
P007,2026-04,60045278.18,0.0519
P007,2026-05,59551333.6,0.0519
P007,2026-06,59578146.45,0.052
P007,2026-07,58472112.98,0.052
P007,2026-08,59796816.46,0.052
P008,2022-09,33452777.65,0.0488
P008,2022-10,33503051.56,0.0488
P008,2022-11,33611690.1,0.0488
P008,2022-12,34016752.46,0.0488
P008,2023-01,34100541.02,0.0488
P008,2023-02,34230361.32,0.0488
P008,2023-03,33877969.83,0.0489
P008,2023-04,33688402.51,0.0489
P008,2023-05,34341923.64,0.0489
P008,2023-06,33922638.78,0.0489
P008,2023-07,33619144.13,0.0489
P008,2023-08,33618113.08,0.0489
P008,2023-09,34357095.74,0.0489
P008,2023-10,34157094.82,0.049
P008,2023-11,34699273.08,0.049
P008,2023-12,34316719.34,0.049
P008,2024-01,34502776.0,0.049
P008,2024-02,34480278.41,0.049
P008,2024-03,34032563.74,0.049
P008,2024-04,34755273.08,0.049
P008,2024-05,34718647.97,0.0491
P008,2024-06,34573712.66,0.0491
P008,2024-07,34356146.43,0.0491
P008,2024-08,34589445.99,0.0491
P008,2024-09,35005140.87,0.0491
P008,2024-10,34804180.19,0.0491
P008,2024-11,35103654.28,0.0492
P008,2024-12,34985340.27,0.0492
P008,2025-01,35633984.27,0.0492
P008,2025-02,35933821.73,0.0492
P008,2025-03,35166501.83,0.0492
P008,2025-04,35829009.02,0.0492
P008,2025-05,35060709.31,0.0492
P008,2025-06,35038758.03,0.0493
P008,2025-07,35369817.63,0.0493
P008,2025-08,35278078.27,0.0493
P008,2025-09,35555017.53,0.0493
P008,2025-10,35909042.45,0.0493
P008,2025-11,36305364.2,0.0493
P008,2025-12,36626868.98,0.0493
P008,2026-01,36675254.39,0.0494
P008,2026-02,37019441.58,0.0494
P008,2026-03,36369137.08,0.0494
P008,2026-04,36217413.99,0.0494
P008,2026-05,36373790.92,0.0494
P008,2026-06,36760998.49,0.0494
P008,2026-07,36354787.46,0.0495
P008,2026-08,37211701.16,0.0495
P009,2022-09,32612366.73,0.048
P009,2022-10,32080361.13,0.048
P009,2022-11,32179177.11,0.048
P009,2022-12,32482983.9,0.048
P009,2023-01,32475793.07,0.048
P009,2023-02,32433850.13,0.048
P009,2023-03,32019310.76,0.048
P009,2023-04,32122715.46,0.0481
P009,2023-05,32115770.8,0.0481
P009,2023-06,31448004.03,0.0481
P009,2023-07,32928481.27,0.0481
P009,2023-08,31775265.03,0.0481
P009,2023-09,32773718.74,0.0481
P009,2023-10,33052836.19,0.0482
P009,2023-11,32868078.73,0.0482
P009,2023-12,32059486.35,0.0482
P009,2024-01,32278599.49,0.0482
P009,2024-02,32376847.84,0.0482
P009,2024-03,32335184.88,0.0482
P009,2024-04,32359599.38,0.0482
P009,2024-05,31935463.28,0.0483
P009,2024-06,31690485.81,0.0483
P009,2024-07,32002666.34,0.0483
P009,2024-08,31807840.11,0.0483
P009,2024-09,32196403.89,0.0483
P009,2024-10,32828019.55,0.0483
P009,2024-11,32140701.69,0.0483
P009,2024-12,32890942.08,0.0484
P009,2025-01,32220174.03,0.0484
P009,2025-02,32568461.02,0.0484
P009,2025-03,32601478.19,0.0484
P009,2025-04,32536918.26,0.0484
P009,2025-05,32274649.98,0.0484
P009,2025-06,31976734.05,0.0485
P009,2025-07,28791713.0,0.0485
P009,2025-08,29252876.62,0.0485
P009,2025-09,28326891.67,0.0485
P009,2025-10,28698916.23,0.0485
P009,2025-11,28517733.29,0.0485
P009,2025-12,28352355.01,0.0485
P009,2026-01,28678320.14,0.0486
P009,2026-02,28189249.57,0.0486
P009,2026-03,27711143.01,0.0486
P009,2026-04,26927003.02,0.0486
P009,2026-05,27580854.19,0.0486
P009,2026-06,27436311.79,0.0486
P009,2026-07,27492662.99,0.0486
P009,2026-08,27115505.72,0.0487
P010,2022-09,36755413.77,0.0493
P010,2022-10,36224757.7,0.0493
P010,2022-11,36832880.72,0.0493
P010,2022-12,36381457.68,0.0493
P010,2023-01,36016107.03,0.0494
P010,2023-02,36631677.57,0.0494
P010,2023-03,36043666.75,0.0494
P010,2023-04,36182501.26,0.0494
P010,2023-05,35618393.66,0.0494
P010,2023-06,35823351.86,0.0494
P010,2023-07,36271525.17,0.0494
P010,2023-08,36657958.79,0.0495
P010,2023-09,35777115.77,0.0495
P010,2023-10,35848960.24,0.0495
P010,2023-11,35796422.23,0.0495
P010,2023-12,36954115.54,0.0495
P010,2024-01,36148548.75,0.0495
P010,2024-02,36206408.92,0.0496
P010,2024-03,35894823.41,0.0496
P010,2024-04,36116037.16,0.0496
P010,2024-05,35853269.94,0.0496
P010,2024-06,34955510.65,0.0496
P010,2024-07,34872768.23,0.0496
P010,2024-08,35073898.54,0.0496
P010,2024-09,35616315.83,0.0497
P010,2024-10,36150804.96,0.0497
P010,2024-11,35831772.22,0.0497
P010,2024-12,35920649.55,0.0497
P010,2025-01,35275043.81,0.0497
P010,2025-02,35320060.39,0.0497
P010,2025-03,35612233.65,0.0497
P010,2025-04,35132996.85,0.0498
P010,2025-05,34862816.34,0.0498
P010,2025-06,34487273.83,0.0498
P010,2025-07,34079536.68,0.0498
P010,2025-08,34453302.37,0.0498
P010,2025-09,34558816.97,0.0498
P010,2025-10,34026879.13,0.0499
P010,2025-11,34444744.89,0.0499
P010,2025-12,35168426.69,0.0499
P010,2026-01,34160392.91,0.0499
P010,2026-02,34328587.54,0.0499
P010,2026-03,34738142.49,0.0499
P010,2026-04,34760519.9,0.0499
P010,2026-05,34485726.83,0.05
P010,2026-06,33412302.68,0.05
P010,2026-07,33782084.32,0.05
P010,2026-08,33544590.5,0.05
P011,2022-09,48062314.66,0.0509
P011,2022-10,48757314.35,0.0509
P011,2022-11,48850858.72,0.0509
P011,2022-12,48978542.67,0.051
P011,2023-01,49233673.92,0.051
P011,2023-02,48690902.87,0.051
P011,2023-03,48116610.95,0.051
P011,2023-04,48310867.9,0.051
P011,2023-05,47976553.24,0.051
P011,2023-06,48255755.75,0.0511
P011,2023-07,48161905.69,0.0511
P011,2023-08,48559824.76,0.0511
P011,2023-09,48004231.5,0.0511
P011,2023-10,48369409.14,0.0511
P011,2023-11,48505438.4,0.0511
P011,2023-12,48260556.9,0.0511
P011,2024-01,48506842.63,0.0512
P011,2024-02,48449489.76,0.0512
P011,2024-03,48350335.97,0.0512
P011,2024-04,47872964.85,0.0512
P011,2024-05,48197721.55,0.0512
P011,2024-06,47565096.46,0.0512
P011,2024-07,47310518.03,0.0512
P011,2024-08,47772843.51,0.0513
P011,2024-09,48403190.27,0.0513
P011,2024-10,48319583.93,0.0513
P011,2024-11,47931885.4,0.0513
P011,2024-12,48385920.15,0.0513
P011,2025-01,49004680.48,0.0513
P011,2025-02,48813725.53,0.0514
P011,2025-03,47032706.25,0.0514
P011,2025-04,47403075.06,0.0514
P011,2025-05,48445651.91,0.0514
P011,2025-06,46600242.44,0.0514
P011,2025-07,47513301.6,0.0514
P011,2025-08,48484169.3,0.0514
P011,2025-09,47314250.66,0.0515
P011,2025-10,47413308.96,0.0515
P011,2025-11,47914230.99,0.0515
P011,2025-12,47854918.12,0.0515
P011,2026-01,49334396.76,0.0515
P011,2026-02,48129962.93,0.0515
P011,2026-03,47564180.7,0.0515
P011,2026-04,47196583.54,0.0516
P011,2026-05,47479462.05,0.0516
P011,2026-06,47531746.68,0.0516
P011,2026-07,46804291.43,0.0516
P011,2026-08,47353131.25,0.0516
P012,2022-09,34690485.69,0.0491
P012,2022-10,34329688.32,0.0491
P012,2022-11,34913930.09,0.0492
P012,2022-12,34698822.38,0.0492
P012,2023-01,34767740.3,0.0492
P012,2023-02,35170859.03,0.0492
P012,2023-03,35351867.85,0.0492
P012,2023-04,34378870.73,0.0492
P012,2023-05,34871301.08,0.0492
P012,2023-06,34499885.77,0.0493
P012,2023-07,34597905.17,0.0493
P012,2023-08,34816228.63,0.0493
P012,2023-09,35338348.6,0.0493
P012,2023-10,35283614.86,0.0493
P012,2023-11,35276358.3,0.0493
P012,2023-12,35829654.62,0.0494
P012,2024-01,35651864.65,0.0494
P012,2024-02,35508849.86,0.0494
P012,2024-03,35979484.9,0.0494
P012,2024-04,35011192.04,0.0494
P012,2024-05,34962622.08,0.0494
P012,2024-06,34653000.19,0.0494
P012,2024-07,34762925.37,0.0495
P012,2024-08,35715109.72,0.0495
P012,2024-09,34866638.96,0.0495
P012,2024-10,35537741.42,0.0495
P012,2024-11,35396653.64,0.0495
P012,2024-12,35128125.43,0.0495
P012,2025-01,35264365.64,0.0495
P012,2025-02,35626840.56,0.0496
P012,2025-03,35125748.39,0.0496
P012,2025-04,35425030.44,0.0496
P012,2025-05,35208964.5,0.0496
P012,2025-06,34765150.15,0.0496
P012,2025-07,35024493.56,0.0496
P012,2025-08,34880807.38,0.0497
P012,2025-09,35435348.1,0.0497
P012,2025-10,35579327.98,0.0497
P012,2025-11,35335604.03,0.0497
P012,2025-12,35499606.13,0.0497
P012,2026-01,35703906.19,0.0497
P012,2026-02,36155421.32,0.0497
P012,2026-03,35639348.78,0.0498
P012,2026-04,35789600.95,0.0498
P012,2026-05,35183296.27,0.0498
P012,2026-06,35221685.61,0.0498
P012,2026-07,35121442.6,0.0498
P012,2026-08,35269384.46,0.0498
P013,2022-09,52363240.25,0.0456
P013,2022-10,53678940.87,0.0456
P013,2022-11,53307996.69,0.0456
P013,2022-12,53610952.46,0.0457
P013,2023-01,54087672.72,0.0457
P013,2023-02,53245183.67,0.0457
P013,2023-03,54612723.83,0.0457
P013,2023-04,53282183.15,0.0457
P013,2023-05,53344958.58,0.0457
P013,2023-06,54277655.6,0.0457
P013,2023-07,53989477.2,0.0458
P013,2023-08,53100596.3,0.0458
P013,2023-09,54573806.7,0.0458
P013,2023-10,54532748.28,0.0458
P013,2023-11,54598450.75,0.0458
P013,2023-12,54966890.74,0.0458
P013,2024-01,55367562.89,0.0458
P013,2024-02,55241522.11,0.0459
P013,2024-03,54830466.24,0.0459
P013,2024-04,54529596.02,0.0459
P013,2024-05,55645077.29,0.0459
P013,2024-06,54821975.3,0.0459
P013,2024-07,55163453.87,0.0459
P013,2024-08,55293866.3,0.046
P013,2024-09,55898840.01,0.046
P013,2024-10,55911073.12,0.046
P013,2024-11,56740162.4,0.046
P013,2024-12,56046094.98,0.046
P013,2025-01,56740597.68,0.046
P013,2025-02,57019316.18,0.046
P013,2025-03,55955952.63,0.0461
P013,2025-04,56694794.77,0.0461
P013,2025-05,56346976.84,0.0461
P013,2025-06,56813225.51,0.0461
P013,2025-07,49242218.7,0.0461
P013,2025-08,49532263.33,0.0461
P013,2025-09,49455253.53,0.0461
P013,2025-10,49433613.15,0.0462
P013,2025-11,50939494.66,0.0462
P013,2025-12,49411351.69,0.0462
P013,2026-01,48862668.75,0.0462
P013,2026-02,48975833.14,0.0462
P013,2026-03,48078066.39,0.0462
P013,2026-04,48522869.12,0.0463
P013,2026-05,49080491.79,0.0463
P013,2026-06,48672180.19,0.0463
P013,2026-07,47089240.8,0.0463
P013,2026-08,47448370.85,0.0463
P014,2022-09,42832113.63,0.0453
P014,2022-10,42586917.52,0.0453
P014,2022-11,43013792.56,0.0453
P014,2022-12,43589518.09,0.0453
P014,2023-01,43077052.96,0.0453
P014,2023-02,42569789.84,0.0454
P014,2023-03,42914770.95,0.0454
P014,2023-04,43291176.32,0.0454
P014,2023-05,42424771.06,0.0454
P014,2023-06,42707019.83,0.0454
P014,2023-07,42705333.58,0.0454
P014,2023-08,43735536.15,0.0454
P014,2023-09,44308709.31,0.0455
P014,2023-10,42953613.69,0.0455
P014,2023-11,43651965.42,0.0455
P014,2023-12,43982823.82,0.0455
P014,2024-01,44194680.42,0.0455
P014,2024-02,44192853.22,0.0455
P014,2024-03,44113201.33,0.0455
P014,2024-04,43911279.98,0.0456
P014,2024-05,44709725.77,0.0456
P014,2024-06,43719548.86,0.0456
P014,2024-07,44019613.71,0.0456
P014,2024-08,43703644.49,0.0456
P014,2024-09,43874865.23,0.0456
P014,2024-10,45159603.7,0.0457
P014,2024-11,44427672.45,0.0457
P014,2024-12,45416877.98,0.0457
P014,2025-01,44584031.96,0.0457
P014,2025-02,45305443.72,0.0457
P014,2025-03,45167077.88,0.0457
P014,2025-04,44670778.35,0.0457
P014,2025-05,44565827.12,0.0458
P014,2025-06,44204944.6,0.0458
P014,2025-07,44485260.48,0.0458
P014,2025-08,45469998.13,0.0458
P014,2025-09,44914594.3,0.0458
P014,2025-10,45623154.4,0.0458
P014,2025-11,45521345.63,0.0458
P014,2025-12,46128608.82,0.0459
P014,2026-01,45587468.6,0.0459
P014,2026-02,45416928.87,0.0459
P014,2026-03,45909060.86,0.0459
P014,2026-04,45493086.53,0.0459
P014,2026-05,45844603.02,0.0459
P014,2026-06,45552753.72,0.046
P014,2026-07,45596245.92,0.046
P014,2026-08,46385444.97,0.046
P015,2022-09,42212042.15,0.0465
P015,2022-10,42076542.34,0.0465
P015,2022-11,42101147.44,0.0465
P015,2022-12,43350731.97,0.0465
P015,2023-01,42979248.92,0.0465
P015,2023-02,42184005.51,0.0465
P015,2023-03,41896038.55,0.0466
P015,2023-04,41883309.29,0.0466
P015,2023-05,40848475.6,0.0466
P015,2023-06,42267096.62,0.0466
P015,2023-07,41646724.35,0.0466
P015,2023-08,41429888.04,0.0466
P015,2023-09,41737773.02,0.0466
P015,2023-10,41954660.07,0.0467
P015,2023-11,41482132.26,0.0467
P015,2023-12,42805217.88,0.0467
P015,2024-01,42094351.56,0.0467
P015,2024-02,42223182.77,0.0467
P015,2024-03,41157090.38,0.0467
P015,2024-04,41989553.83,0.0467
P015,2024-05,40962744.02,0.0468
P015,2024-06,41867438.91,0.0468
P015,2024-07,41281864.05,0.0468
P015,2024-08,41961498.81,0.0468
P015,2024-09,41503731.87,0.0468
P015,2024-10,41543756.79,0.0468
P015,2024-11,42292514.02,0.0469
P015,2024-12,41547853.39,0.0469
P015,2025-01,42082021.3,0.0469
P015,2025-02,41472330.12,0.0469
P015,2025-03,41516314.31,0.0469
P015,2025-04,41728449.65,0.0469
P015,2025-05,41093676.73,0.0469
P015,2025-06,40863632.81,0.047
P015,2025-07,40743236.78,0.047
P015,2025-08,41453227.52,0.047
P015,2025-09,41520520.93,0.047
P015,2025-10,42117242.26,0.047
P015,2025-11,42401449.83,0.047
P015,2025-12,42249216.18,0.047
P015,2026-01,41882129.68,0.0471
P015,2026-02,41736729.45,0.0471
P015,2026-03,41067395.95,0.0471
P015,2026-04,41711654.02,0.0471
P015,2026-05,40713621.76,0.0471
P015,2026-06,41297979.41,0.0471
P015,2026-07,40550450.5,0.0472
P015,2026-08,40892048.31,0.0472
P016,2022-09,47882668.34,0.0452
P016,2022-10,48811552.82,0.0453
P016,2022-11,48494127.81,0.0453
P016,2022-12,48821533.17,0.0453
P016,2023-01,48177122.09,0.0453
P016,2023-02,48546843.83,0.0453
P016,2023-03,47713040.77,0.0453
P016,2023-04,48499431.92,0.0453
P016,2023-05,48063132.34,0.0454
P016,2023-06,46750433.05,0.0454
P016,2023-07,47837916.61,0.0454
P016,2023-08,47172564.24,0.0454
P016,2023-09,48145410.5,0.0454
P016,2023-10,47165902.52,0.0454
P016,2023-11,47487675.46,0.0454
P016,2023-12,47845946.92,0.0455
P016,2024-01,47219327.29,0.0455
P016,2024-02,46443633.63,0.0455
