property_id,month,occupancy,revenue,operating_expenses,noi
P002,2026-06,0.9408,411559.56,185845.67,225713.89
P002,2026-07,0.9397,412642.47,187029.67,225612.8
P002,2026-08,0.9418,415164.1,188874.45,226289.65
P003,2022-09,0.9688,249854.55,105626.59,144227.96
P003,2022-10,0.9641,249582.92,105752.12,143830.8
P003,2022-11,0.9692,251862.99,106961.34,144901.65
P003,2022-12,0.987,257477.15,109594.66,147882.49
P003,2023-01,0.954,249805.27,106571.36,143233.91
P003,2023-02,0.9683,254525.75,108832.56,145693.19
P003,2023-03,0.9587,252968.17,108412.97,144555.2
P003,2023-04,0.9596,254155.55,109169.97,144985.58
P003,2023-05,0.9666,256976.0,110632.92,146343.08
P003,2023-06,0.9507,253734.48,109486.24,144248.24
P003,2023-07,0.9606,257355.13,111301.52,146053.61
P003,2023-08,0.9621,258741.73,112156.12,146585.61
P003,2023-09,0.9609,259402.57,112698.72,146703.85
P003,2023-10,0.9791,265324.98,115534.34,149790.64
P003,2023-11,0.9918,269778.84,117741.36,152037.48
P003,2023-12,0.9825,268277.64,117352.91,150924.73
P003,2024-01,0.9807,268793.84,117846.56,150947.28
P003,2024-02,0.9695,266754.16,117218.74,149535.42
P003,2024-03,0.9637,266145.02,117217.49,148927.53
P003,2024-04,0.9563,265123.31,117033.5,148089.81
P003,2024-05,0.9545,265629.64,117524.13,148105.51
P003,2024-06,0.9607,268364.6,119004.66,149359.94
P003,2024-07,0.9557,268009.01,119117.71,148891.3
P003,2024-08,0.9579,269639.74,120115.51,149524.23
P003,2024-09,0.9656,272841.08,121818.48,151022.6
P003,2024-10,0.9596,272177.67,121799.11,150378.56
P003,2024-11,0.982,279601.93,125406.49,154195.44
P003,2024-12,0.9748,278608.95,125245.79,153363.16
P003,2025-01,0.9771,280335.73,126309.14,154026.59
P003,2025-02,0.9718,279866.77,126385.1,153481.67
P003,2025-03,0.9708,280633.6,127020.09,153613.51
P003,2025-04,0.9606,278748.88,126454.45,152294.43
P003,2025-05,0.9513,277114.2,125999.26,151114.94
P003,2025-06,0.956,279554.9,127398.57,152156.33
P003,2025-07,0.9643,283033.15,129277.51,153755.64
P003,2025-08,0.9552,281454.66,128849.38,152605.28
P003,2025-09,0.9467,280014.82,128482.25,151532.57
P003,2025-10,0.9641,286243.61,131639.47,154604.14
P003,2025-11,0.9741,290295.46,133806.99,156488.47
P003,2025-12,0.9527,285005.2,131667.8,153337.4
P003,2026-01,0.9634,289312.6,133962.23,155350.37
P003,2026-02,0.9682,291861.08,135450.13,156410.95
P003,2026-03,0.9694,293324.21,136439.27,156884.94
P003,2026-04,0.964,292812.85,136511.68,156301.17
P003,2026-05,0.9502,289721.94,135378.37,154343.57
P003,2026-06,0.958,293223.01,137326.45,155896.56
P003,2026-07,0.9608,295203.78,138569.06,156634.72
P003,2026-08,0.9621,296734.04,139604.67,157129.37
P004,2022-09,0.9059,208198.71,75776.25,132422.46
P004,2022-10,0.9234,212903.03,77643.05,135259.98
P004,2022-11,0.9036,208987.95,76367.34,132620.61
P004,2022-12,0.9218,213877.86,78310.12,135567.74
P004,2023-01,0.9014,209797.84,76969.51,132828.33
P004,2023-02,0.9035,210950.96,77546.98,133403.98
P004,2023-03,0.9018,211222.24,77801.62,133420.62
P004,2023-04,0.8983,211079.97,77904.35,133175.62
P004,2023-05,0.9044,213193.82,78841.51,134352.31
P004,2023-06,0.9026,213437.63,79089.16,134348.47
P004,2023-07,0.899,213251.75,79177.95,134073.8
P004,2023-08,0.9075,215955.58,80341.83,135613.75
P004,2023-09,0.9048,215988.22,80514.3,135473.92
P004,2023-10,0.9136,218791.75,81722.11,137069.64
P004,2023-11,0.896,215246.16,80558.19,134687.97
P004,2023-12,0.899,216654.11,81246.91,135407.2
P004,2024-01,0.9015,217945.52,81894.27,136051.25
P004,2024-02,0.9009,218500.28,82266.54,136233.74
P004,2024-03,0.9062,220466.24,83172.35,137293.89
P004,2024-04,0.8881,216764.37,81938.96,134825.41
P004,2024-05,0.8926,218535.21,82773.18,135762.03
P004,2024-06,0.8932,219385.11,83260.88,136124.23
P004,2024-07,0.8966,220906.88,84005.7,136901.18
P004,2024-08,0.9116,225331.44,85859.22,139472.22
P004,2024-09,0.9123,226213.96,86367.48,139846.48
P004,2024-10,0.9023,224447.54,85864.04,138583.5
P004,2024-11,0.9039,225541.73,86454.79,139086.94
P004,2024-12,0.8997,225209.32,86499.61,138709.71
P004,2025-01,0.9111,228801.27,88054.56,140746.71
P004,2025-02,0.8957,225642.2,87012.06,138630.14
P004,2025-03,0.9052,228763.59,88391.73,140371.86
P004,2025-04,0.8896,225525.18,87314.32,138210.86
P004,2025-05,0.8956,227773.98,88360.91,139413.07
P004,2025-06,0.9013,229934.62,89377.07,140557.55
P004,2025-07,0.8968,229525.15,89395.91,140129.24
P004,2025-08,0.9137,234596.34,91553.36,143042.98
P004,2025-09,0.9167,236100.29,92324.13,143776.16
P004,2025-10,0.9202,237759.58,93158.47,144601.11
P004,2025-11,0.9066,234988.45,92256.4,142732.05
P004,2025-12,0.91,236612.95,93079.53,143533.42
P004,2026-01,0.9157,238838.88,94142.63,144696.25
P004,2026-02,0.9037,236465.07,93392.92,143072.15
P004,2026-03,0.908,238352.95,94326.37,144026.58
P004,2026-04,0.8956,235827.58,93513.19,142314.39
P004,2026-05,0.8918,235585.38,93603.54,141981.84
P004,2026-06,0.8966,237590.97,94588.76,143002.21
P004,2026-07,0.9028,240002.54,95739.48,144263.06
P004,2026-08,0.9049,241323.32,96458.43,144864.89
P005,2022-09,0.9472,273543.97,109951.1,163592.87
P005,2022-10,0.9554,276965.6,111608.89,165356.71
P005,2022-11,0.9441,274706.4,110979.38,163727.02
P005,2022-12,0.9406,274753.85,111280.19,163473.66
P005,2023-01,0.9503,278621.21,113132.87,165488.34
P005,2023-02,0.9631,283470.89,115394.12,168076.77
P005,2023-03,0.9442,278946.03,113840.27,165105.76
P005,2023-04,0.9359,277569.4,113565.89,164003.51
P005,2023-05,0.9371,278984.26,114434.39,164549.87
P005,2023-06,0.9336,278996.79,114729.9,164266.89
P005,2023-07,0.9442,283228.93,116765.78,166463.15
P005,2023-08,0.9277,279333.14,115451.88,163881.26
P005,2023-09,0.9357,282837.14,117196.74,165640.4
P005,2023-10,0.9391,284933.02,118364.76,166568.26
P005,2023-11,0.9558,291103.73,121234.99,169868.74
P005,2023-12,0.9563,292380.22,122075.56,170304.66
P005,2024-01,0.9309,285704.88,119591.13,166113.75
P005,2024-02,0.9379,288933.34,121249.38,167683.96
P005,2024-03,0.9323,288303.43,121292.02,167011.41
P005,2024-04,0.942,292421.54,123336.7,169084.84
P005,2024-05,0.924,287926.64,121748.99,166177.65
P005,2024-06,0.938,293394.32,124375.77,169018.55
P005,2024-07,0.9207,289082.79,122858.97,166223.82
P005,2024-08,0.9449,297813.16,126890.49,170922.67
P005,2024-09,0.9456,299175.61,127794.43,171381.18
P005,2024-10,0.941,298842.41,127976.0,170866.41
P005,2024-11,0.9431,300648.26,129076.02,171572.24
P005,2024-12,0.9527,304876.5,131223.42,173653.08
P005,2025-01,0.9527,306020.83,132050.17,173970.66
P005,2025-02,0.9425,303896.82,131466.38,172430.44
P005,2025-03,0.9431,305270.52,132395.72,172874.8
P005,2025-04,0.9457,307281.23,133605.91,173675.32
P005,2025-05,0.9465,308710.41,134567.9,174142.51
P005,2025-06,0.9279,303783.51,132756.24,171027.27
P005,2025-07,0.9245,303818.28,133108.32,170709.96
P005,2025-08,0.9309,307115.06,134894.11,172220.95
P005,2025-09,0.9289,307614.5,135456.3,172158.2
P005,2025-10,0.9396,312353.21,137891.96,174461.25
P005,2025-11,0.9384,313112.27,138577.79,174534.48
P005,2025-12,0.9422,315590.97,140029.21,175561.76
P005,2026-01,0.948,318751.47,141790.4,176961.07
P005,2026-02,0.9514,321097.44,143196.38,177901.06
P005,2026-03,0.9555,323733.37,144738.21,178995.16
P005,2026-04,0.9467,321976.97,144318.2,177658.77
P005,2026-05,0.9423,321670.69,144546.76,177123.93
P005,2026-06,0.9283,318114.03,143311.23,174802.8
P005,2026-07,0.9304,320031.92,144541.07,175490.85
P005,2026-08,0.9391,324284.95,146833.55,177451.4
P006,2022-09,0.914,339553.03,119491.79,220061.24
P006,2022-10,0.9162,341315.18,120411.57,220903.61
P006,2022-11,0.9183,343086.29,121338.37,221747.92
P006,2022-12,0.9316,349044.59,123753.6,225290.99
P006,2023-01,0.9108,342185.33,121624.34,220560.99
P006,2023-02,0.9282,349708.46,124608.42,225100.04
P006,2023-03,0.9125,344766.47,123153.97,221612.5
P006,2023-04,0.905,342892.41,122790.13,220102.28
P006,2023-05,0.9042,343551.8,123333.19,220218.61
P006,2023-06,0.9088,346298.21,124629.29,221668.92
P006,2023-07,0.9156,349854.05,126223.13,223630.92
P006,2023-08,0.9196,352399.56,127458.72,224940.84
P006,2023-09,0.9107,349962.68,126893.13,223069.55
P006,2023-10,0.9245,356277.86,129505.24,226772.62
P006,2023-11,0.9258,357767.16,130371.05,227396.11
P006,2023-12,0.9232,357791.29,130705.12,227086.17
P006,2024-01,0.9247,359390.57,131616.9,227773.67
P006,2024-02,0.9229,359674.63,132049.56,227625.07
P006,2024-03,0.911,356060.23,131048.72,225011.51
P006,2024-04,0.9195,360374.39,132967.47,227406.92
P006,2024-05,0.9053,355838.41,131621.38,224217.03
P006,2024-06,0.904,356325.91,132130.53,224195.38
P006,2024-07,0.9012,356197.97,132412.62,223785.35
P006,2024-08,0.9135,362075.89,134933.48,227142.41
P006,2024-09,0.9142,363377.48,135756.39,227621.09
P006,2024-10,0.9316,371332.77,139074.56,232258.21
P006,2024-11,0.9164,366334.33,137544.8,228789.53
P006,2024-12,0.9208,369128.78,138939.79,230188.99
P006,2025-01,0.9172,368700.64,139124.87,229575.77
P006,2025-02,0.9192,370559.99,140175.32,230384.67
P006,2025-03,0.9109,368246.78,139647.82,228598.96
P006,2025-04,0.9146,370784.64,140961.04,229823.6
P006,2025-05,0.9124,370936.05,141370.43,229565.62
P006,2025-06,0.9113,371523.49,141947.57,229575.92
P006,2025-07,0.9254,378354.15,144918.0,233436.15
P006,2025-08,0.9079,372232.64,142929.03,229303.61
P006,2025-09,0.9225,379297.87,146005.28,233292.59
P006,2025-10,0.9096,375041.54,144727.04,230314.5
P006,2025-11,0.9318,385311.55,149061.16,236250.39
P006,2025-12,0.9273,384531.04,149130.35,235400.69
P006,2026-01,0.9201,382605.86,148753.91,233851.95
P006,2026-02,0.9107,379781.94,148024.38,231757.56
P006,2026-03,0.9176,383733.26,149937.6,233795.66
P006,2026-04,0.9002,377524.79,147879.76,229645.03
P006,2026-05,0.9194,386664.61,151837.78,234826.83
P006,2026-06,0.9121,384667.36,151430.34,233237.02
P006,2026-07,0.9104,385032.65,151952.3,233080.35
P006,2026-08,0.9308,394744.25,156173.63,238570.62
P007,2022-09,0.9356,386029.92,139311.07,246718.85
P007,2022-10,0.9498,392549.46,141894.9,250654.56
P007,2022-11,0.9669,400259.48,144917.82,255341.66
P007,2022-12,0.9635,399548.39,144896.3,254652.09
P007,2023-01,0.9484,393906.46,143083.24,250823.22
P007,2023-02,0.9465,393770.28,143267.07,250503.21
P007,2023-03,0.9489,395448.61,144112.36,251336.25
P007,2023-04,0.937,391146.35,142776.99,248369.36
P007,2023-05,0.9452,395188.27,144487.65,250700.62
P007,2023-06,0.9559,400348.55,146613.08,253735.47
P007,2023-07,0.9482,397761.13,145903.11,251858.02
P007,2023-08,0.9311,391257.44,143751.56,247505.88
P007,2023-09,0.9401,395683.25,145614.75,250068.5
P007,2023-10,0.9401,396328.32,146090.03,250238.29
P007,2023-11,0.9644,407259.18,150364.08,256895.1
P007,2023-12,0.9497,401716.3,148559.5,253156.8
P007,2024-01,0.9675,409912.24,151837.7,258074.54
P007,2024-02,0.9604,407620.87,151235.2,256385.67
P007,2024-03,0.9537,405412.07,150661.02,254751.05
P007,2024-04,0.9509,404909.35,150719.62,254189.73
P007,2024-05,0.9305,396900.64,147979.49,248921.15
P007,2024-06,0.9477,404889.24,151204.16,253685.08
P007,2024-07,0.9443,404106.73,151158.07,252948.66
P007,2024-08,0.9426,404024.78,151373.9,252650.88
P007,2024-09,0.9608,412534.17,154814.16,257720.01
P007,2024-10,0.9489,408080.53,153392.59,254687.94
P007,2024-11,0.9679,416941.75,156979.03,259962.72
P007,2024-12,0.9476,408913.37,154207.44,254705.93
P007,2025-01,0.9713,419807.37,158573.95,261233.42
P007,2025-02,0.9624,416669.17,157645.25,259023.92
P007,2025-03,0.9577,415299.43,157383.29,257916.14
P007,2025-04,0.9352,406213.49,154191.13,252022.36
P007,2025-05,0.9475,412236.1,156732.41,255503.69
P007,2025-06,0.9394,409393.79,155905.63,253488.16
P007,2025-07,0.9479,413778.53,157832.43,255946.1
P007,2025-08,0.9538,417082.15,159352.05,257730.1
P007,2025-09,0.9401,411770.53,157579.27,254191.26
P007,2025-10,0.9449,414545.55,158899.97,255645.58
P007,2025-11,0.9591,421489.79,161825.28,259664.51
P007,2025-12,0.9607,422878.86,162623.4,260255.46
P007,2026-01,0.9452,416742.66,160525.04,256217.62
P007,2026-02,0.9425,416241.98,160593.68,255648.3
P007,2026-03,0.9526,421418.34,162856.0,258562.34
P007,2026-04,0.9566,423877.31,164073.43,259803.88
P007,2026-05,0.9484,420945.45,163204.33,257741.12
P007,2026-06,0.9485,421692.11,163760.47,257931.64
P007,2026-07,0.9306,414412.26,161195.88,253216.38
P007,2026-08,0.9514,424363.84,165336.02,259027.82
P008,2022-09,0.9588,216060.11,80122.64,135937.47
P008,2022-10,0.9582,216681.54,80497.9,136183.64
P008,2022-11,0.9593,217682.88,81015.63,136667.25
P008,2022-12,0.9688,220609.63,82252.85,138356.78
P008,2023-01,0.9691,221458.26,82718.06,138740.2
P008,2023-02,0.9707,222608.83,83297.66,139311.17
P008,2023-03,0.9587,220622.52,82703.17,137919.35
P008,2023-04,0.9513,219692.79,82503.07,137189.72
P008,2023-05,0.9677,224266.39,84372.4,139893.99
P008,2023-06,0.9539,221837.39,83608.98,138228.41
P008,2023-07,0.9434,220160.1,83126.35,137033.75
P008,2023-08,0.9414,220461.87,83390.3,137071.57
P008,2023-09,0.9601,225624.43,85496.85,140127.58
P008,2023-10,0.9525,224626.74,85272.18,139354.56
P008,2023-11,0.9656,228514.17,86904.25,141609.92
P008,2023-12,0.9529,226314.34,86222.75,140091.59
P008,2024-01,0.9561,227863.77,86969.51,140894.26
P008,2024-02,0.9535,228038.57,87193.08,140845.49
P008,2024-03,0.9392,225397.9,86338.7,139059.2
P008,2024-04,0.9571,230512.74,88457.06,142055.68
P008,2024-05,0.9541,230599.03,88649.65,141949.38
P008,2024-06,0.9482,229965.4,88565.38,141400.02
P008,2024-07,0.9403,228846.42,88293.26,140553.16
P008,2024-08,0.9447,230732.02,89181.18,141550.84
P008,2024-09,0.9541,233841.77,90546.02,143295.75
P008,2024-10,0.9467,232835.45,90318.84,142516.61
P008,2024-11,0.9529,235179.17,91392.39,143786.78
P008,2024-12,0.9477,234726.92,91381.03,143345.89
P008,2025-01,0.9633,239426.85,93378.72,146048.13
P008,2025-02,0.9694,241793.71,94471.76,147321.95
P008,2025-03,0.9468,236976.52,92756.48,144220.04
P008,2025-04,0.9627,241794.8,94812.99,146981.81
P008,2025-05,0.9401,236957.42,93083.59,143873.83
P008,2025-06,0.9376,237157.72,93330.17,143827.55
P008,2025-07,0.9445,239751.74,94521.04,145230.7
P008,2025-08,0.9402,239483.57,94585.46,144898.11
P008,2025-09,0.9457,241721.37,95641.34,146080.03
P008,2025-10,0.9532,244490.95,96911.5,147579.45
P008,2025-11,0.9617,247557.5,98303.86,149253.64
P008,2025-12,0.9683,250122.58,99501.43,150621.15
P008,2026-01,0.9676,250827.74,99961.77,150865.97
P008,2026-02,0.9748,253561.39,101233.31,152328.08
P008,2026-03,0.9557,249481.65,99783.99,149697.66
P008,2026-04,0.9498,248815.2,99696.77,149118.43
P008,2026-05,0.952,250266.92,100459.17,149807.75
P008,2026-06,0.9603,253313.96,101865.52,151448.44
P008,2026-07,0.9478,250894.95,101074.58,149820.37
P008,2026-08,0.9682,257199.35,103801.07,153398.28
P009,2022-09,0.9561,212254.92,81921.43,130333.49
P009,2022-10,0.9401,209106.01,80858.55,128247.46
P009,2022-11,0.9427,210065.91,81383.19,128682.72
P009,2022-12,0.9512,212369.18,82430.95,129938.23
P009,2023-01,0.9506,212643.36,82693.3,129950.06
P009,2023-02,0.9491,212690.77,82868.0,129822.77
P009,2023-03,0.9366,210291.52,82088.0,128203.52
P009,2023-04,0.9393,211292.09,82634.39,128657.7
P009,2023-05,0.9388,211569.05,82899.02,128670.03
P009,2023-06,0.9189,207487.19,81453.22,126033.97
P009,2023-07,0.9619,217588.47,85580.04,132008.43
P009,2023-08,0.9279,210291.14,82866.17,127424.97
P009,2023-09,0.9567,217233.49,85763.56,131469.93
P009,2023-10,0.9645,219422.23,86791.32,132630.91
P009,2023-11,0.9588,218533.86,86603.24,131930.62
P009,2023-12,0.9349,213488.79,84763.74,128725.05
P009,2024-01,0.941,215282.64,85637.46,129645.18
P009,2024-02,0.9436,216275.0,86194.74,130080.26
P009,2024-03,0.9421,216334.71,86381.42,129953.29
P009,2024-04,0.9425,216837.68,86745.82,130091.86
P009,2024-05,0.9299,214332.13,85905.46,128426.67
P009,2024-06,0.9224,213023.29,85542.17,127481.12
P009,2024-07,0.9313,215461.74,86684.81,128776.93
P009,2024-08,0.9253,214489.34,86456.62,128032.72
P009,2024-09,0.9363,217454.38,87817.37,129637.01
P009,2024-10,0.9544,222073.33,89852.12,132221.21
P009,2024-11,0.9342,217770.85,88277.77,129493.08
P009,2024-12,0.9557,223210.75,90653.88,132556.87
P009,2025-01,0.936,219009.43,89115.61,129893.82
P009,2025-02,0.9459,221732.87,90394.24,131338.63
P009,2025-03,0.9466,222315.52,90802.99,131512.53
P009,2025-04,0.9444,222233.89,90941.12,131292.77
P009,2025-05,0.9366,220799.76,90524.95,130274.81
P009,2025-06,0.9277,219117.03,90004.77,129112.26
P009,2025-07,0.9185,217348.89,101060.78,116288.11
P009,2025-08,0.9162,217218.95,99031.66,118187.29
P009,2025-09,0.9169,217793.99,103312.45,114481.54
P009,2025-10,0.9199,218911.83,102890.9,116020.93
P009,2025-11,0.9313,222038.05,106713.94,115324.11
P009,2025-12,0.9259,221170.06,106479.29,114690.77
P009,2026-01,0.9142,218777.77,102732.56,116045.21
P009,2026-02,0.9212,220862.51,106761.06,114101.45
P009,2026-03,0.9123,219158.8,106957.94,112200.86
P009,2026-04,0.8949,215363.2,106303.62,109059.58
P009,2026-05,0.9037,217896.27,106153.99,111742.28
P009,2026-06,0.8953,216267.07,105076.1,111190.97
P009,2026-07,0.8932,216177.02,104723.31,111453.71
P009,2026-08,0.8958,217210.45,107251.82,109958.63
P010,2022-09,0.9142,251057.93,100069.75,150988.18
P010,2022-10,0.9019,248152.08,99298.51,148853.57
P010,2022-11,0.918,253055.17,101656.68,151398.49
P010,2022-12,0.9077,250688.35,101099.92,149588.43
P010,2023-01,0.8995,248904.51,100773.26,148131.25
P010,2023-02,0.9159,253911.47,103202.64,150708.83
P010,2023-03,0.9022,250582.98,102248.27,148334.71
P010,2023-04,0.9067,252305.07,103353.77,148951.3
P010,2023-05,0.8935,249123.24,102449.66,146673.58
P010,2023-06,0.8997,251319.65,103757.29,147562.36
P010,2023-07,0.912,255243.26,105789.46,149453.8
P010,2023-08,0.9229,258757.49,107665.6,151091.89
P010,2023-09,0.9018,253322.75,105816.68,147506.07
P010,2023-10,0.9047,254623.1,106776.01,147847.09
P010,2023-11,0.9045,255047.7,107372.54,147675.16
P010,2023-12,0.9349,264127.38,111630.06,152497.32
P010,2024-01,0.9157,259190.24,109972.04,149218.2
P010,2024-02,0.9184,260434.7,110932.4,149502.3
P010,2024-03,0.9117,259023.63,110763.05,148260.58
P010,2024-04,0.9185,261463.09,112243.66,149219.43
P010,2024-05,0.9131,260405.71,112227.13,148178.58
P010,2024-06,0.8914,254716.8,110204.89,144511.91
P010,2024-07,0.8906,254951.42,110737.99,144213.43
P010,2024-08,0.897,257272.32,112183.29,145089.03
P010,2024-09,0.9122,262122.98,114745.63,147377.35
P010,2024-10,0.9272,266950.21,117316.0,149634.21
P010,2024-11,0.9204,265488.67,117130.2,148358.47
P010,2024-12,0.9241,267052.49,118281.13,148771.36
P010,2025-01,0.9089,263150.47,117008.9,146141.57
P010,2025-02,0.9114,264394.05,118021.83,146372.22
P010,2025-03,0.9204,267505.49,119877.94,147627.55
P010,2025-04,0.9095,264826.64,119141.81,145684.83
P010,2025-05,0.904,263713.09,119105.03,144608.06
P010,2025-06,0.8957,261794.66,118701.21,143093.45
P010,2025-07,0.8866,259620.09,118175.81,141444.28
P010,2025-08,0.8978,263407.58,120368.95,143038.63
P010,2025-09,0.9021,265166.9,121647.01,143519.89
P010,2025-10,0.8898,262032.96,120679.63,141353.33
P010,2025-11,0.9023,266219.94,123087.67,143132.27
P010,2025-12,0.9229,272812.9,126629.47,146183.43
P010,2026-01,0.898,265974.42,123938.35,142036.07
P010,2026-02,0.9041,268280.28,125501.96,142778.32
P010,2026-03,0.9166,272499.74,127974.59,144525.15
P010,2026-04,0.9189,273705.49,129043.79,144661.7
P010,2026-05,0.9134,272574.66,129013.45,143561.21
P010,2026-06,0.8867,265101.78,125967.38,139134.4
P010,2026-07,0.8982,269069.32,128352.86,140716.46
P010,2026-08,0.8937,268215.12,128445.99,139769.13
P011,2022-09,0.919,311791.6,107857.69,203933.91
P011,2022-10,0.9324,316976.92,110033.1,206943.82
P011,2022-11,0.9343,318267.59,110865.67,207401.92
P011,2022-12,0.9369,319788.4,111783.16,208005.24
P011,2023-01,0.9419,322151.39,113001.1,209150.29
P011,2023-02,0.9317,319294.06,112388.66,206905.4
P011,2023-03,0.9209,316218.77,111693.6,204525.17
P011,2023-04,0.9248,318193.6,112782.33,205411.27
P011,2023-05,0.9186,316689.78,112640.0,204049.78
P011,2023-06,0.9241,319239.78,113942.2,205297.58
P011,2023-07,0.9225,319329.39,114370.88,204958.51
P011,2023-08,0.9304,322689.05,115976.45,206712.6
P011,2023-09,0.9199,319715.04,115307.52,204407.52
P011,2023-10,0.9272,322875.69,116852.74,206022.95
P011,2023-11,0.93,324519.38,117856.4,206662.98
P011,2023-12,0.9256,323618.12,117938.16,205679.96
P011,2024-01,0.9306,326015.69,119225.46,206790.23
P011,2024-02,0.9297,326380.67,119774.38,206606.29
P011,2024-03,0.9281,326466.94,120223.04,206243.9
